Family,Genus,Species,CommonName,GrowthRate,HardinessZones,Height,Width,Type,Leaf,Flower,Ripen,Reproduction,Soils,pH,Preferences,Tolerances,Habitat,HabitatRange,Edibility,Medicinal,OtherUses
Amaranthaceae,Amaranthus,tricolor,"Chinese Spinach, Joseph's-coat, Fountain Plant, Tampala , Summer Poinsettia",medium,[],1,0.5,ANNUAL,April to October,June to August,July to September,monoecious,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid","[' well-drained soil', ' moist soil']",['drought'],"A widely cultivated plant, it is not known in a truly wild situation.",Tropical Asia,(3 of 5),(1 of 5),(2 of 5)
Amaranthaceae,Amaranthus,viridis,"Calalu, Slender amaranth",,[],0.5,,ANNUAL,April to October,July to September,August to October,monoecious,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],A weed of waste ground and roadsides but the original habitat is obscure[144].,Tropical N. America? Original habitat is obscure.,(3 of 5),(2 of 5),(1 of 5)
Chenopodiaceae,Spinacia,oleracea,Spinach,fast,"[4, 5, 6, 7, 8]",0.3,,ANNUAL,,June to September.,,dioecious,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)",[],[],Not known in the wild.,"The origin of this plant is uncertain, it probably arose in S.W. Asia.",(3 of 5),(2 of 5),(1 of 5)
Chenopodiaceae,Atriplex,hortensis,"Orach, Garden orache",fast,"[5, 6, 7, 8, 9]",1.8,0.3,ANNUAL,,July to August,September,monoecious,"['light', 'medium']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very alkaline and saline","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],"Arable land, waste and disturbed ground, shingle etc[9].",Europe. An occasional garden escape in Britain[17].,(4 of 5),(2 of 5),(3 of 5)
Chenopodiaceae,Chenopodium,giganteum,Tree Spinach,,"[4, 5, 6, 7, 8]",2.4,,ANNUAL,,July to September,August to October,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)",[],[],Weed infested places[74].,E. Asia - N. India. Naturalized in S. France[50].,(3 of 5),(0 of 5),(2 of 5)
Chenopodiaceae,Chenopodium,quinoa,"Quinoa, Goosefoot, Pigweed, Inca Wheat",fast,"[1, 2]",1.5,0.3,ANNUAL,,July to August,August to September,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid, very alkaline and saline","[' well-drained soil', ' moist soil']",['drought'],"The original habitat is obscure, the plant probably arose through cultivation[139].",S. America - Western Andes.,(5 of 5),(0 of 5),(2 of 5)
Chenopodiaceae,Beta,vulgaris,Sugar Beet,,"[4, 5, 6, 7, 8]",1.5,0.2,BIENNIAL,,,,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very alkaline and saline","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],Not known in a truly wild situation.,A cultivated form of B. vulgaris maritima that is grown for the sugar content of its root.,(4 of 5),(2 of 5),(3 of 5)
Amaranthaceae,Celosia,argentea,"Lagos Spinach, Common Cockscomb",fast,[],0.5,0.5,ANNUAL,,,,hermaphrodite,"['light', 'medium', 'heavy', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil', 'dry or  moist soil']",['drought'],Open moist places to elevations of 1600 metres in Nepal[272].,Pantropics.,(4 of 5),(3 of 5),(1 of 5)
Basellaceae,Basella,alba,"Malabar Spinach, Indian Spinach, Ceylon spinach,",fast,[],growing,,evergreen,,May to September,July to October,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],Moist places in hedges to elevations of about 500 metres in Nepal[272].,"A widely cultivated plant, its original range uncertain but was possibly Africa.",(4 of 5),(2 of 5),(2 of 5)
Basellaceae,Ullucus,tuberosus,Olluco,,[],0.3,,PERENNIAL,,,,hermaphrodite,"['light', 'medium']","mildly acid, neutral and basic (mildly alkaline)",[' moist soil'],['drought'],Not known,"S. America - Peru, Bolivia.",(3 of 5),(0 of 5),(0 of 5)
Cactaceae,Opuntia,ficus-indica,"Prickly Pear, Barbary fig",,[],to,5,evergreen,,June to September.,,hermaphrodite,"['light', 'medium']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral', 'dry soil']",['drought'],Naturalized in the Mediterranean where it grows in dry arid and rocky places[89].,Original habitat is obscure.,(3 of 5),(2 of 5),(3 of 5)
Caryophyllaceae,Stellaria,media,"Chickweed, Common chickweed",fast,[],0.1,0.5,ANNUAL,,,,hermaphrodite,"['light', 'medium', 'heavy', 'heavy']","mildly acid, neutral and basic (mildly alkaline)",[],[],"Growing almost anywhere, it is a common garden weed[7, 17].","A cosmopolitan plant, found in most regions of the world, including Britain.",(3 of 5),(3 of 5),(2 of 5)
Caryophyllaceae,Honckenya,peploides,"Sea Sandwort, Seaside sandplant",medium,"[4, 5, 6, 7, 8]",0.2,1,PERENNIAL,,May to August,July to September,hermaphrodite,"['light', 'medium']","mildly acid, neutral and basic (mildly alkaline)",[' well-drained soil'],['maritime exposure'],By sea coasts on mobile sand and sandy shingle[17].,"Coasts of temperate and arctic regions of Eurasia, including Britain, and N. America.",(3 of 5),(0 of 5),(0 of 5)
Caryophyllaceae,Silene,latifolia,"White Campion,  Bladder campion",,"[5, 6, 7, 8, 9]",0.6,,PERENNIAL,,May to September,July to October,dioecious,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)",[],[],"Hedges, waste places and cultivated land[17].","Most of Europe, including Britain, to N. Africa and W. Asia.",(0 of 5),(0 of 5),(1 of 5)
Caryophyllaceae,Silene,vulgaris,"Bladder Campion, Maidenstears",,"[5, 6, 7, 8, 9]",0.6,,PERENNIAL,,June to August,July to September,dioecious,"['light', 'medium']","mildly acid, neutral and basic (mildly alkaline)",[],[],"Arable land, roadsides, grassy slopes etc, avoiding acid soils[9, 17].","Most of Europe, including Britain, to N. Africa and temperate Asia.",(2 of 5),(1 of 5),(1 of 5)
Portulacaceae,Claytonia,perfoliata,Miner's Lettuce,,[],0.2,,ANNUAL,,May to July.,,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)",[' well-drained soil'],[],"Disturbed and waste ground, moist banks and slopes, often in partial shade, especially on light soils[17, 85]. Also found on rather dry sandy soils[50].",Western N. America - British Columbia to California and Mexico. Naturalized in Britain.,(4 of 5),(1 of 5),(2 of 5)
Portulacaceae,Claytonia,sibirica,"Pink Purslane, Siberian springbeauty",,"[3, 4, 5, 6, 7]",to,,evergreen,,April to July,June to August,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid",[' well-drained soil'],[],"Damp woods, shaded streamsides etc, especially on sandy acid soils[17, 50]. Thickets of red alder, dogwood, vine-leaf maple, moist shaded coniferous forests from sea level to 2000 metres[270].",E. Asia - Siberia. Western N. America - Alaska to California. Naturalized in Britain.,(4 of 5),(1 of 5),(3 of 5)
Portulacaceae,Claytonia,tuberosa,Tuberous Spring Beauty,,"[4, 5, 6, 7, 8]",0.2,,PERENNIAL,,April to July,May,hermaphrodite,"['light', 'medium']",mildly acid,[],[],Sphagnum tundra in the Arctic[74]. Wet to moist stony tundra slopes from sea level to 1200 metres in Alaska[270].,"Northwestern N. America - Alaska, to E. Asia - Siberia.",(3 of 5),(0 of 5),(0 of 5)
Portulacaceae,Claytonia,virginica,"Spring Beauty, Virginia springbeauty, Hammond's claytonia, Yellow Virginia springbeauty",medium,"[5, 6, 7]",0.2,0.2,PERENNIAL,,March to April,May,hermaphrodite,"['light', 'medium']",mildly acid,[],[],"Rich woods, thickets and clearings[43]. Wetlands, seeps, moist woods, riparian hardwood forests, copses, bluffs, ravines and prairies from sea level to 1000 metres[270].","Eastern N. America - Quebec to Texas. A garden escape, locally naturalized in Britain[17].",(3 of 5),(1 of 5),(0 of 5)
Nyctaginaceae,Abronia,fragrans,Snowball Sand Verbena,,[],0.6,0.8,PERENNIAL,,June to August.,,hermaphrodite,"['light', 'medium']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral', 'dry or  moist soil']",['drought'],"Dry sandy soils, scrub and grasslands at elevations of 400 - 2000 metres[60, 235, 270].","South-western N. America - South Dakota to Nebraska, Colorado, Texas and Mexico",(2 of 5),(1 of 5),(0 of 5)
Nyctaginaceae,Abronia,latifolia,"Sand Verbena, Coastal sand verbena",,[],0.1,0.5,PERENNIAL,,June to August.,,hermaphrodite,['light'],"mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",['maritime exposure'],"Coastal sand dunes and sea beaches[60]. Sandy soils, coastal scrub, lees of dunes adjacent to strand from sea level to 50 metres[270].",South-western N. America - California to Vancouver Island..,(2 of 5),(0 of 5),(0 of 5)
Nyctaginaceae,Mirabilis,multiflora,"Four O'clock Plant, Colorado four o'clock",,[],1,,PERENNIAL,,July to August.,,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],"Hillsides and mesas, often amongst rocks and shrubs[192]. Gravelly or sandy soils, pinyon-juniper woodlands, ponderosa pine forests at elevations of 300 - 2300 metres[270].",Southern N. America - Texas to Colorado and Utah.,(1 of 5),(2 of 5),(0 of 5)
Phytolaccaceae,Phytolacca,americana,"Pokeweed, American pokeweed, Garnet, Pigeon Berry, Poke",fast,"[4, 5, 6, 7, 8]",2,1.5,PERENNIAL,,August to September,September to November,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)",[],[],"Damp rich soils in clearings, woodland margins and roadsides[43]. Disturbed areas, pastures, clearings, thickets, woodland borders and roadsides from sea level to 1400 metres[270].",Northern and Central N. America. Occasionally naturalized in Britain[17].,(3 of 5),(3 of 5),(2 of 5)
Polygonaceae,Bistorta,bistortoides,American Bistort,,"[4, 5, 6, 7, 8]",0.5,,PERENNIAL,,July to August.,,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)",[],[],"Moist or wet meadows and swamps, seldom below 2500 metres[43, 85].",Western N. America - Canada to California.,(3 of 5),(1 of 5),(0 of 5)
Polygonaceae,Bistorta,vivipara,Alpine Bistort,,"[3, 4, 5, 6, 7]",0.3,0.3,PERENNIAL,,June to August.,,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)",[],[],Mountain grassland and wet rocks[17].,"Arctic and northern regions of Europe, including Britain, Asia and America. On mountains in south.",(3 of 5),(1 of 5),(0 of 5)
Polygonaceae,Fagopyrum,esculentum,Buckwheat,fast,[],1.5,0.3,ANNUAL,,July to September,August to October,monoecious,"['light', 'medium', 'heavy', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid","[' well-drained soil', 'dry or  moist soil']",['drought'],Waste ground as an escape from cultivation[17]. Its original habitat is obscure.,"Probably originating in China, the plant is cultivated in many temperate areas where it sometimes escapes and is found wild.",(4 of 5),(3 of 5),(4 of 5)
Polygonaceae,Persicaria,bistorta,"Bistort, Meadow bistort, Snakeweed",fast,"[4, 5, 6, 7]",0.5,0.5,PERENNIAL,,June to September,August to October,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid",[],[],"Damp meadows and by water, especially on acid soils[13, 17].","Northern and central Europe, including Britain, mountains of S. Europe, western and central Asia.",(3 of 5),(3 of 5),(2 of 5)
Polygonaceae,Polygonum,aviculare,"Knotweed,  Prostrate knotweed",,"[4, 5, 6, 7, 8]",0.3,,ANNUAL,,June to October,August to October,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid",[],['maritime exposure'],"Waste places, roadsides, railway embankments and the coast[9]. A common garden weed[1].","Throughout Europe, including Britain, to Temperate Asia.",(2 of 5),(3 of 5),(1 of 5)
Polygonaceae,Oxyria,digyna,"Mountain Sorrel, Alpine mountainsorrel",,"[2, 3, 4, 5, 6, 7, 8]",0.5,0.3,PERENNIAL,,June to August,July to August,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],"Damp rocky places on mountains, especially by streams, avoiding acid soils[17]. Locally common on enriched soils below bird roosts[200].","Mountains of the northern temperate zone, including Britain.",(3 of 5),(1 of 5),(0 of 5)
Polygonaceae,Rumex,acetosa,"Sorrel, Garden sorrel",,"[3, 4, 5, 6, 7]",0.6,0.3,PERENNIAL,,May to June,June to August,dioecious,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid",[],[],"Meadows, by streams and in open places in woodland[7, 17]. Often found as a weed of acid soils[1].","Most of Europe, including Britain, temperate Asia, N. America, Greenland.",(5 of 5),(3 of 5),(4 of 5)
Polygonaceae,Rumex,acetosella,"Sheeps Sorrel, Common sheep sorrel",fast,"[4, 5, 6, 7, 8]",0.3,1,PERENNIAL,,May to August,July to September,dioecious,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid",[],['maritime exposure'],"Heaths and acid grasslands[17]. A weed of acid soils[17, 55].","Cetral and southeastern Europe, including Britain, as far north as Scandanavia and Iceland.",(4 of 5),(3 of 5),(1 of 5)
Polygonaceae,Rumex,crispus,"Curled Dock, Curly dock",,"[4, 5, 6, 7, 8]",0.6,0.3,PERENNIAL,,June to October,July to October,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)",[],[],"Growing almost anywhere[5], it is found especially in grassy places, waste ground, roadsides and near sand dunes and is a serious weed of agriculture[17, 244].","Most of Europe, including Britain, to N. Africa.",(2 of 5),(3 of 5),(2 of 5)
Polygonaceae,Rumex,obtusifolius,"Round-Leaved Dock, Bitter dock",,"[4, 5, 6, 7, 8]",1,,PERENNIAL,,June to October,July to October,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid and very alkaline","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],"Waste ground, hedgerows and field margins[17]. A common weed of cultivated land on acid or calcareous soils[12].","Western Europe, including Britain, from Scandanavia south and east to Spain, Germany and Hungary.",(1 of 5),(2 of 5),(3 of 5)
Polygonaceae,Rumex,patientia,Herb Patience,,[],1.5,0.5,PERENNIAL,,June to July,August,hermaphrodite,"['light', 'medium', 'heavy', 'heavy']","mildly acid, neutral and basic (mildly alkaline)",[],[],Waste land in Britain[17].,Europe. Naturalized in a few places in Britain[17].,(3 of 5),(1 of 5),(1 of 5)
Polygonaceae,Rumex,scutatus,"Buckler-Leaved Sorrel, French sorrel",medium,"[5, 6, 7, 8, 9]",0.6,0.6,PERENNIAL,,June to July,July to August,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral', ' moist soil']",['drought'],"Old walls and mountain pastures[17, 244].",Europe. Occasionally naturalized in Britain[17].,(4 of 5),(1 of 5),(2 of 5)
Polygonaceae,Rumex,venosus,"Sour Greens, Veiny dock",,"[4, 5, 6, 7, 8]",0.5,,PERENNIAL,,July to August.,,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],Sandy soils[43].,North-western N. America - Wisconsin to Montana.,(1 of 5),(2 of 5),(1 of 5)
Portulacaceae,Portulaca,oleracea,"Green Purslane, Little hogweed",fast,[],0.3,0.3,ANNUAL,,June to September,July to September,hermaphrodite,"['light', 'medium']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],"Fields, waste ground, roadside verges, cultivated ground and by the sea[7].",S. Europe. A not infrequent casual in Britain.,(4 of 5),(3 of 5),(2 of 5)
Tamaricaceae,Tamarix,aphylla,Athel Tamarisk,medium,[],10,,deciduous,,July.,,hermaphrodite,"['light', 'medium', 'heavy', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very alkaline and saline",[' well-drained soil'],['maritime exposure'],Wadis in hot desert areas in salty and non-salty habitats.,W. Asia to N.E. Africa.,(1 of 5),(1 of 5),(3 of 5)
Tamaricaceae,Tamarix,gallica,"Manna Plant, French tamarisk",medium,"[4, 5, 6, 7, 8]",4,6,deciduous,,June to August.,,hermaphrodite,"['light', 'medium', 'heavy', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very alkaline and saline",[' well-drained soil'],['maritime exposure'],"Damp ground near the coast[17, 100].",W. Europe - France. Naturalized in Britain[17].,(1 of 5),(2 of 5),(3 of 5)
Tamaricaceae,Tamarix,ramosissima,"Tamarisk, Saltcedar",medium,"[2, 3, 4, 5, 6, 7, 8, 9]",4.5,3,deciduous,,August to September.,,hermaphrodite,"['light', 'medium', 'heavy', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very alkaline and saline",[' well-drained soil'],['maritime exposure'],Saline soils[11].,E. Asia - S. Russia to China.,(1 of 5),(0 of 5),(3 of 5)
Apiaceae or Umbelliferae,Levisticum,officinale,"Lovage, Garden lovage",medium,"[5, 6, 7, 8, 9]",1.8,1,PERENNIAL,March to November,July to August,August to September,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)",[],[],"Arable land and waste places[9] in damp soils[7, 14]. Mountain pastures and hedgerows near streams[244].",Europe. Occasionally naturalized in Britain.,(3 of 5),(3 of 5),(2 of 5)
Apiaceae or Umbelliferae,Ligusticum,porteri,Porter's Licorice Root,,"[5, 6, 7, 8, 9]",0.9,0.6,PERENNIAL,,,,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],"Moist fertile ground, almost to the timberline, 2000 - 3500 metres in Texas[155]. Upland meadows and ravines[238].",South-western N. America.,(1 of 5),(3 of 5),(0 of 5)
Apiaceae or Umbelliferae,Ligusticum,scoticum,"Scottish Lovage, Scottish licorice-root, Hulten's licorice-root",,"[4, 5, 6, 7, 8]",0.6,,PERENNIAL,,July to August,August to September,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",['maritime exposure'],Rocky coasts in northern Britain[17].,"Northwestern Europe, including Britain, from Denmark to Norway.",(3 of 5),(2 of 5),(2 of 5)
Apiaceae or Umbelliferae,Meum,athamanticum,Spignel,,"[6, 7, 8, 9]",0.5,0.2,PERENNIAL,,June to July,August to September,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],"Grassy places in mountainous districts[17], usually on limestone soils[200].","Europe, including Britain, from Norway south and east to Spain, Germany and the Balkans.",(2 of 5),(1 of 5),(0 of 5)
Apiaceae or Umbelliferae,Opopanax,chironium,Opopanax,,"[5, 6, 7, 8, 9]",1.8,,PERENNIAL,October to August,June to July,August,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],"Stony ground, olive groves, vineyards etc[45].",S. Europe.,(0 of 5),(1 of 5),(2 of 5)
Apiaceae or Umbelliferae,Anethum,graveolens,Dill,medium,[],0.8,0.2,ANNUAL,May to November,April to July,July to August,hermaphrodite,"['light', 'medium']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],"Fields, waste places etc in the Mediterranean[100].",W. Asia. Naturalized in Europe in the Mediterranean[100].,(4 of 5),(3 of 5),(2 of 5)
Apiaceae or Umbelliferae,Apium,graveolens,"Wild Celery. Ajmod, Ajwain-ka-patta (Indian)",,"[5, 6, 7, 8, 9]",0.6,0.3,BIENNIAL,,June to August,August to September,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in saline",[],[],"Ditches, by rivers and in other damp locations, especially near the sea in salt marshes[9, 17, 100].","Central and southern Europe, including Britain, to temperate areas of Africa and Asia.",(3 of 5),(3 of 5),(2 of 5)
Apiaceae or Umbelliferae,Foeniculum,vulgare,"Fennel, Sweet fennel",,[],to,1,evergreen,,August to October,September to October,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral', 'dry or  moist soil']",['drought'],"Found most often in dry stony calcareous soils near the sea[1, 16, 190].",S. Europe. Naturalized in Britain.,(5 of 5),(3 of 5),(4 of 5)
Apiaceae or Umbelliferae,Aegopodium,podagraria,"Ground Elder, Bishop's goutweed, Goutweed, Ground Elder, Bishop's Weed",fast,"[4, 5, 6, 7, 8, 9]",0.6,1,PERENNIAL,,May to July.,,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)",[],[],Hedgerows and cultivated land[17]. A common garden weed[17].,"Most of Europe, including Britain, to western Asia and Siberia.",(3 of 5),(2 of 5),(2 of 5)
Apiaceae or Umbelliferae,Carum,carvi,Caraway,,"[3, 4, 5, 6, 7, 8, 9]",0.6,0.3,BIENNIAL,,June to July,July to August,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],"Moist meadows, arable land and waste places from lowland to mountain elevations[9, 165, 244].",Europe. Rarely naturalized in Britain. Perhaps native in S.E. England[17].,(4 of 5),(3 of 5),(3 of 5)
Apiaceae or Umbelliferae,Coriandrum,sativum,"Coriander - Dhania - Cilantro, Coriander",,[],0.5,0.3,ANNUAL,,June to July,August to September,hermaphrodite,"['light', 'medium']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very alkaline","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],"Waste places and arable land, often by the sides of rivers[4, 9].",S. Europe. Naturalized in Britain[17].,(4 of 5),(4 of 5),(4 of 5)
Apiaceae or Umbelliferae,Cryptotaenia,japonica,"Mitsuba, Japanese honewort",,"[4, 5, 6, 7, 8]",to,0.6,evergreen,,July to August,August to September,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)",[],[],"Woodland in hills and mountains[52, 58].","E. Asia - China, Japan.",(4 of 5),(1 of 5),(0 of 5)
Apiaceae or Umbelliferae,Oenanthe,javanica,"Water Dropwort, Java waterdropwort, 	Stolon waterdropwort",,[],1,,PERENNIAL,,June to August,August to October,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)",[' wet soil'],[],"Ditches, ponds and wet places in lowland areas all over Japan[58]. Marshlands, lakeshores, muddy stream banks and shallow water at elevations of 600 - 3000 metres in most parts of China[266].","E. Asia - China, Japan, Korea to Australia.",(3 of 5),(2 of 5),(3 of 5)
Apiaceae or Umbelliferae,Sium,sisarum,"Skirret, Suikerwortel (Netherlands), Crummock (Scotland),  Zuckewurzel (Germany)",,"[4, 5, 6, 7, 8, 9]",1,0.4,PERENNIAL,March to November,July,September,hermaphrodite,"['light', 'medium']","mildly acid, neutral and basic (mildly alkaline)",[],[],Not known in a truly wild situation but found as an escape from cultivation in damp places[50].,"Original habitat is obscure, possibly in E. Europe or Asia.",(4 of 5),(0 of 5),(0 of 5)
Apiaceae or Umbelliferae,Pimpinella,anisum,"Aniseed (Saunf - Hindi), Anise burnet saxifrage",,[],0.5,0.2,ANNUAL,May to October,July,August to September,hermaphrodite,"['light', 'medium']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],Not known in a truly wild situation.,S. Europe - Greece.,(4 of 5),(3 of 5),(3 of 5)
Apiaceae or Umbelliferae,Pimpinella,saxifraga,"Greater Burnet Saxifrage, Hollowstem burnet saxifrage",,"[4, 5, 6, 7, 8]",0.8,0.3,PERENNIAL,,June to July,July to August,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)",[],[],"Hedge banks, woodland edges and other grassy places[9].","Europe, including Britain, from Scandanavia south and east to Portugal, the Balkans and Caucasus.",(1 of 5),(2 of 5),(0 of 5)
Apiaceae or Umbelliferae,Bunium,bulbocastanum,"Pig Nut, Earth-nut",,"[4, 5, 6, 7, 8]",0.6,0.3,PERENNIAL,,June to July,July to August,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very alkaline","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],Rough grassland and banks on chalk[17].,"Western and Southern Europe, including Britain, from the Netherlands to Italy.",(4 of 5),(1 of 5),(0 of 5)
Apiaceae or Umbelliferae,Crithmum,maritimum,Rock Samphire,,"[5, 6, 7, 8, 9]",0.3,0.3,PERENNIAL,,June to August,August to October,hermaphrodite,['light'],"mildly acid, neutral and basic (mildly alkaline) soils and can grow in very alkaline and saline",[' well-drained soil'],['maritime exposure'],"On cliffs and rocks, or more rarely on shingle or sand, by the sea[17].","Coastal regions of Europe, including Britain, to the Mediterranean and Black Sea.",(2 of 5),(2 of 5),(2 of 5)
Apiaceae or Umbelliferae,Eryngium,campestre,Field Eryngo,,"[5, 6, 7, 8, 9]",0.6,0.5,PERENNIAL,,July to August.,,hermaphrodite,"['light', 'medium']","mildly acid, neutral and basic (mildly alkaline)",[' well-drained soil'],['maritime exposure'],Dry grassy areas near the coast[17]. A rare plant in Britain.,"Central and southern Europe, including Britain, from N. Germany to N. Africa and Afghanistan.",(2 of 5),(2 of 5),(0 of 5)
Apiaceae or Umbelliferae,Eryngium,maritimum,"Sea Holly, Seaside eryngo",,"[4, 5, 6, 7, 8]",to,0.4,evergreen,,July to October.,,hermaphrodite,"['light', 'medium']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very alkaline and saline","[' well-drained soil', 'dry or  moist soil']","['drought', 'maritime exposure']","Sea shores, preferring sand and shingle whilst avoiding acid soils[17].","European coasts, including Britain, from Scandanavia to the Mediterraneanand Baltic, and Black Sea",(3 of 5),(3 of 5),(2 of 5)
Apiaceae or Umbelliferae,Cuminum,cyminum,Cumin - Jeera,fast,[],0.3,0.2,ANNUAL,May to October,June to July,August to September,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid and very alkaline","[' well-drained soil. Suitable pH: mildly acid, neutral', 'dry or  moist soil']",['drought'],Not known in a truly wild condition.,Europe to N. Africa and S.W.Asia? Original habitat is obscure.,(4 of 5),(3 of 5),(2 of 5)
Apiaceae or Umbelliferae,Daucus,carota,"Wild Carrot, Queen anne's lace, Carrot, Wild Carrot, Queen Anne's Lace",medium,"[4, 5, 6, 7, 8]",0.6,0.3,BIENNIAL,,June to August,August to September,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",['maritime exposure'],"Cultivated and waste land, amongst grass, especially by the sea and on chalk[4, 17].","Europe, including Britain, from Scandanavia south and east to N. Africa, China and eastern India.",(2 of 5),(3 of 5),(4 of 5)
