Family,Genus,Species,CommonName,GrowthRate,HardinessZones,Height,Width,Type,Foliage,Pollinators,Leaf,Flower,Ripen,Reproduction,Soils,pH,pH_split,Preferences,Tolerances,Habitat,HabitatRange,Edibility,Medicinal,OtherUses,PFAF
Ulmaceae,Celtis,laevigata,"Sugarberry, Netleaf hackberry, Texan sugarberry, Sugar  Hackberry",medium,"[5, 6, 7, 8, 9, 10]",18.0,,Deciduous Tree,Deciduous,['Bees'],,April,October,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",Well-drained soil,Drought,"In rich bottomlands along streams, in flood plains, and on rocky slopes, generally in clay soils, from sea level to 300 metres[229, 270].","South-eastern N. America - Virginia to Illinois and Missouri, south to Florida and Texas.",2,1,3,https://pfaf.org/user/Plant.aspx?LatinName=Celtis+laevigata
Ulmaceae,Celtis,occidentalis,"Hackberry, Common hackberry",fast,"[3, 4, 5, 6, 7, 8, 9]",20.0,20.0,Deciduous Tree,Deciduous,['Bees'],,May,October,Hermaphrodite,"['light', 'medium']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",Well-drained soil,Drought,"Dry to moist and rich woods, river banks, rocky barrens etc. Frequently found on limestone soils.","Eastern N. America - Quebec to Manitoba, North Carolina, Missouri and Oklahoma.",3,1,2,https://pfaf.org/user/Plant.aspx?LatinName=Celtis+occidentalis
Cephalotaxaceae,Cephalotaxus,harringtonia,Japanese Plum Yew,slow,"[6, 7, 8, 9]",5.0,3.0,Evergreen Shrub,Evergreen,['Wind'],,April to May,October to November,Dioecious,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,,"An understorey shrub in woodlands[109, 200]. In temperate deciduous forests at elevations of 600 - 1000 metres.",E. Asia - Japan.,5,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Cephalotaxus+harringtonia
Fabaceae or Leguminosae,Cercis,canadensis,"Redbud, Eastern redbud, Mexican redbud,Texas redbud",medium,"[4, 5, 6, 7, 8, 9]",12.0,10.0,Deciduous Tree,Deciduous,['Bees'],,May to June,October,Hermaphrodite,"['light', 'medium']","Mildly acid, neutral and basic soils and can grow in very acid and very alkaline","['Mildly acid', ' neutral', 'basic', 'very acid', 'very alkaline']","Well-drained soil. suitable ph: mildly acid, neutral",,"Rich woods, ravines and borders of streams[43, 82]. It often forms a distinct understorey in woodlands.","Eastern and Central N. America - New York to Florida, west to Texas and Wisconsin[222].",3,2,2,https://pfaf.org/user/Plant.aspx?LatinName=Cercis+canadensis
Rosaceae,Cercocarpus,montanus,"Mountain Mahogany, Alderleaf mountain mahogany,  Silver mountain mahogany, Island mountain mahogany,",medium,"[6, 7]",4.0,,Evergreen Shrub,Evergreen,['Insects'],,May to June.,,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",Drought,"Dry rocky bluffs or mountainsides, 1,000 - 2,700 metres in Texas.",Western N. America - Washington to California.,0,1,3,https://pfaf.org/user/Plant.aspx?LatinName=Cercocarpus+montanus
Rosaceae,Chaenomeles,speciosa,"Japanese Quince, Flowering quince",medium,"[4, 5, 6, 7, 8]",3.0,5.0,Deciduous Shrub,Deciduous,['Bees'],,February to June,October,Hermaphrodite,"['light', 'medium', 'heavy', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",Well-drained soil,Atmospheric pollution,"Long cultivated, its natural habitat is now obscure.",E. Asia - China. An occasional garden escape in Britain[17].,3,2,3,https://pfaf.org/user/Plant.aspx?LatinName=Chaenomeles+speciosa
Asteraceae or Compositae,Chamaemelum,nobile,"Chamomile, Roman chamomile",,"[4, 5, 6, 7, 8, 9]",0.2,0.3,Evergreen Perennial,Evergreen,"['Bees', 'Flies', 'Beetles']",,June to July,July to October,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic soils and can grow in very alkaline","['Mildly acid', ' neutral', 'basic', 'very alkaline']",Well-drained soil,Drought,"Sandy commons, pastures and grassy roadsides.","Western Europe, including Britain, from Belgium south to N. Africa and the Azores.",2,5,4,https://pfaf.org/user/Plant.aspx?LatinName=Chamaemelum+nobile
Poaceae or Gramineae,Chasmanthium,latifolium,"Indian Woodoats, Wild Oats Grass, North American Wild Oats, Northern Sea Oats, Spanglegrass River Oa",medium,"[4, 5, 6, 7, 8, 9, 10]",1.0,,Perennial,,['Wind'],,,,Hermaphrodite,"['light', 'medium']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,,Moist fertile woodlands. Along stream and river banks and in rich deciduous woods.,South-eastern N. America to northern Mexico.,1,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Chasmanthium+latifolium
Chenopodiaceae,Chenopodium,bonus-Henricus,Good King Henry,,"[4, 5, 6, 7, 8]",0.3,0.3,Perennial,,['Wind'],,May to July,June to August,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,,"Rich pastures, farmyards, roadsides etc.","Most of Europe, including Britain, north to Scandanavia, W. Asia, N. America.",4,2,1,https://pfaf.org/user/Plant.aspx?LatinName=Chenopodium+bonus-Henricus
Pyrolaceae,Chimaphila,maculata,"Spotted Wintergreen, Striped prince's pine, Pipsissewa",slow,"[6, 7]",0.3,0.5,Evergreen Shrub,Evergreen,,,June to August.,,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,,Rich woods. Dry woods.,"Eastern N. America - Illinois to Michigan and Ontario, south to Texas and Georgia.",1,3,2,https://pfaf.org/user/Plant.aspx?LatinName=Chimaphila+maculata
Pyrolaceae,Chimaphila,umbellata,Pipsissewa,slow,"[4, 5, 6, 7, 8]",0.4,0.5,Evergreen Shrub,Evergreen,['Insects'],,July to August.,,Hermaphrodite,"['light', 'medium', 'heavy']",Mildly acid soils and can grow in very acid,"['Mildly acid', 'very acid']",Well-drained soil. suitable ph: mildly acid soils,,"Dry coniferous woods in Europe. Moist woods, particularly coniferous stands, and along mountain streams from the lower hills to about 2,500 metres in Western N. America.","N. Europe, N. America, E. Asia.",2,3,2,https://pfaf.org/user/Plant.aspx?LatinName=Chimaphila+umbellata
Compositae,Chrysogonum,virginianum,"Golden-knee, Green and Gold, or Goldenstar",fast,"[5, 6, 7, 8, 9]",0.2,0.4,Evergreen Perennial,Evergreen,,,,,,"['light', 'medium', 'heavy']",Mildly acid and neutral soils and can grow in very acid,"['Mildly acid', 'neutral', 'very acid']",Well-drained soil. suitable ph: mildly acid,,Native to woodland areas from Pennsylvania to Florida and Louisiana in moist well drained soils in part sun or part shade often growing as a natural groundcover.[368-1]. Indigenous to mesic to dry woodlands and open rocky woodlands.  Plants are more likely to be found in forest edges and clearings with bright filtered light rather than in densely shaded interiors.,Native to the eastern United States from New York to Florida and Louisiana.,0,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Chrysogonum+virginianum
Saxifragaceae,Chrysosplenium,americanum,"Water Mat, American golden saxifrage",,"[3, 4, 5, 6, 7]",0.1,0.5,Perennial,,"['Beetles', 'Flies']",,April to May.,,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic soils and can grow in very acid","['Mildly acid', ' neutral', 'basic', 'very acid']",,,"Acid soils in springheads, rills and cold wet places","Central and Western N. America - Quebec to Minnesota, south to Nova Scotia and Montana.",1,0,2,https://pfaf.org/user/Plant.aspx?LatinName=Chrysosplenium+americanum
Asteraceae or Compositae,Cichorium,intybus,"Chicory, Radicchio, Succory, Witloof",fast,"[3, 4, 5, 6, 7]",1.5,0.5,Perennial,,['Bees'],,July to October,August to October,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic soils and can grow in very acid and very alkaline","['Mildly acid', ' neutral', 'basic', 'very acid', 'very alkaline']","Well-drained soil. suitable ph: mildly acid, neutral",,"Grassy meadows and arable land, especially on chalk[5, 13].","Europe, including Britain, from Scandanavia south and east to N. Africa and W. Asia.",4,3,3,https://pfaf.org/user/Plant.aspx?LatinName=Cichorium+intybus
Portulacaceae,Claytonia,caroliniana,"Broad-Leaved Spring Beauty,  Carolina springbeauty",,"[5, 6, 7, 8, 9]",0.1,,Perennial,,,,March,May,Hermaphrodite,"['light', 'medium']",Mildly acid,['Mildly acid'],,,"Rich open woods, alluvial thickets and upland slopes. Wetlands and riparian hardwood forests from sea level to 1400 metres.","Eastern N. America - Nova Scotia to Saskatchewan, south to North Carolina, Ohio and Missouri.",3,0,1,https://pfaf.org/user/Plant.aspx?LatinName=Claytonia+caroliniana
Portulacaceae,Claytonia,megarhiza,Alpine Spring Beauty,,"[4, 5, 6, 7, 8]",0.2,0.1,Evergreen Perennial,Evergreen,['Insects'],,April to July,May,Hermaphrodite,"['light', 'medium']",Mildly acid,['Mildly acid'],,,"Gravelly soils, rock crevices and high montane regions. Talus, scree and gravelly slopes at elevations of 2000 - 4000 metres.",Western N. America - Washington and southwards.,3,0,0,https://pfaf.org/user/Plant.aspx?LatinName=Claytonia+megarhiza
Portulacaceae,Claytonia,virginica,"Spring Beauty, Virginia springbeauty, Hammond's claytonia, Yellow Virginia springbeauty",medium,"[5, 6, 7]",0.2,0.2,Perennial,,['Insects'],,March to April,May,Hermaphrodite,"['light', 'medium']",Mildly acid,['Mildly acid'],,,"Rich woods, thickets and clearings. Wetlands, seeps, moist woods, riparian hardwood forests, copses, bluffs, ravines and prairies from sea level to 1000 metres.","Eastern N. America - Quebec to Texas. A garden escape, locally naturalized in Britain[17].",3,1,0,https://pfaf.org/user/Plant.aspx?LatinName=Claytonia+virginica
Lamiaceae,Clinopodium,glabellum,Glade calamint,fast,"[6, 7]",0.6,1.5,Evergreen Perennial,Evergreen,,,,,,"['light', 'medium', 'heavy']",Mildly acid,['Mildly acid'],,,"Found only on wet cedar glades and in seeps along limestone creekbeds. Due to its narrow range and specific habitat requirements, this species is considered vulnerable.","Native to the US Nashville Basin of Tennessee, the Bluegrass Region of Kentucky, and two counties in Alabama. ",0,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Clinopodium+glabellum
Convallariaceae,Clintonia,borealis,Bluebeard,,"[3, 4, 5, 6, 7]",0.3,0.3,Perennial,,['Insects'],,May.,,Hermaphrodite,"['light', 'medium']",Mildly acid and neutral soils and can grow in very acid,"['Mildly acid', 'neutral', 'very acid']",,,"Rich woodlands, deep thickets, higher elevations in cool moist sites[43, 62].","North-eastern N. America - Newfoundland to Manitoba, south to N. Carolina and Wisconsin..",2,1,2,https://pfaf.org/user/Plant.aspx?LatinName=Clintonia+borealis
Leguminosae,Clitoria,mariana,"Atlantic Pigeonwings, Butterfly Pea",medium,"[6, 7, 8, 9]",0.8,0.8,Perennial Climber,Perennial,,,,,,"['light', 'medium']",Neutral,['Neutral'],Well-drained soil,,"Dry open forests, shale barrens, and rocky or sandy woodlands.","The plant is native to the eastern, southern, and central United States west to New Mexico and Arizona. It is also found in Asia, in: Bhutan, India, Laos, Myanmar, Thailand, Vietnam, and southern China (Guangxi, Yunnan) ",0,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Clitoria+mariana
Araceae,Colocasia,esculenta,"Taro, Elephant Ears Taro, Dasheen, Eddo",medium,"[9, 10, 11]",1.0,1.0,Evergreen Perennial,Evergreen,['Insects'],,,,,"['light', 'medium', 'heavy']",Mildly acid and neutral soils and can grow in very acid and saline,"['Mildly acid', 'neutral', 'very acid', 'saline']",,,"Not known in a truly wild situation, though it is often established in low lying areas along streams and river banks[ 200 ].","Widely cultivated in the tropics, its original range is uncertain but is probably tropical Asia.",4,2,1,https://pfaf.org/user/Plant.aspx?LatinName=Colocasia+esculenta
Fabaceae or Leguminosae,Colutea,arborescens,Bladder Senna,fast,"[4, 5, 6, 7, 8]",3.6,3.0,Deciduous Shrub,Deciduous,['Bees'],,June to September,September to October,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",Well-drained soil,Drought,"Open woods, roadsides, railway banks etc, often on calcareous soils.",S. Europe - Mediterranean. Naturalized in Britain[17].,0,2,4,https://pfaf.org/user/Plant.aspx?LatinName=Colutea+arborescens
Commelinaceae,Commelina,erecta,"Slender Day-Flower, Whitemouth dayflower",,"[8, 9, 10, 11]",1.2,,Perennial,,,,July to September,August to October,Hermaphrodite,"['light', 'medium']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,Loamy or sandy soils or rocky slopes in woods and openings.,South-eastern N. America - Pennsylvania to Florida and Texas.,2,0,0,https://pfaf.org/user/Plant.aspx?LatinName=Commelina+erecta
Compositae,Conoclinium,coelestinum,Blue mistflower,fast,"[6, 7, 8, 9, 10]",0.7,0.7,Perennial,,"['Bees', 'Insects']",,,,,"['light', 'medium', 'heavy']",Mildly acid and neutral,"['Mildly acid', 'neutral']",Well-drained soil. suitable ph: mildly acid,,"Moist open woods especially edges and clearings, banks of lakes, rivers, creeks or ditches, moist meadows, wet prairies, sandy coastal wetlands, bottomlands, seeps, fields, roadsides and right-of ways.","Native Range: Central and southeastern United States, West Indies",0,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Conoclinium+coelestinum
Apiaceae or Umbelliferae,Conopodium,majus,Pignut,,"[6, 7, 8, 9]",0.3,,Perennial,,['Insects'],,May to June,July to August,Hermaphrodite,"['light', 'medium', 'heavy']",Mildly acid and neutral,"['Mildly acid', 'neutral']",,,"Woods, hedgerows and fields. It is never found on alkaline soils.","Europe, including Britain, from Norway to Spain, east to Italy and Corsica.",3,0,0,https://pfaf.org/user/Plant.aspx?LatinName=Conopodium+majus
Asteraceae or Compositae,Coreopsis,auriculata,"Tickseed, Lobed tickseed,Mouse-eared Coreopsis, Eared Coreopsis",medium,"[4, 5, 6, 7, 8]",1.5,,Perennial,,['Bees'],,July to August.,,Hermaphrodite,"['light', 'medium']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",Drought,Rich calcareous hardwoods and openings.,"South-eastern N. America - Florida and Louisiana, north to Virginia and Kentucky.",0,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Coreopsis+auriculata
Compositae,Coreopsis,rosea,Pink tickseed,fast,"[4, 5, 6, 7, 8, 9]",0.6,0.6,Perennial,,,,,,,"['light', 'medium']",Mildly acid and neutral,"['Mildly acid', 'neutral']",,,"Pine barrens, moist open woods, shores of lakes, rivers or ponds and damp sandy depressions.  This species generally occurs in pioneer habitats with changing water levels, low fertility, lack of surface leaf litter and few competing plants.","Native to the coastal plain in the northeastern U. S. from Massachusetts and Rhode Island to southeastern New York, New Jersey, Delaware and Maryland. Disjunct populations occur in Nova Scotia, South Carolina and Georgia.",0,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Coreopsis+rosea
Compositae,Coreopsis,verticillata,Whorled tickseed,fast,"[3, 4, 5, 6, 7, 8, 9]",1.0,1.0,Perennial,,,,,,,"['light', 'medium']",Mildly acid and neutral,"['Mildly acid', 'neutral']",Well-drained soil,Drought,"Open rocky dry woods, open pineland, margins of woods, pine savannahs and post oak savannahs.","Found primarily in the east-central United States, from Maryland south to Georgia, with isolated populations as far west as Oklahoma and as far north as Québec and Ontario.",1,1,3,https://pfaf.org/user/Plant.aspx?LatinName=Coreopsis+verticillata
Cornaceae,Cornus,canadensis,"Creeping Dogwood, Bunchberry dogwood, Bunchberry",fast,"[2, 3, 4, 5, 6, 7]",0.3,1.0,Perennial,,['Insects'],,June.,,Hermaphrodite,"['light', 'medium', 'heavy', 'heavy']",Mildly acid and neutral,"['Mildly acid', 'neutral']",,,"Coniferous woods, thickets and damp clearings in peaty soils.","N. America - Newfoundland to Alaska, south to Virginia and California.",4,2,2,https://pfaf.org/user/Plant.aspx?LatinName=Cornus+canadensis
Cornaceae,Cornus,florida,Flowering Dogwood,medium,"[5, 6, 7, 8, 9]",6.0,8.0,Deciduous Shrub,Deciduous,['Insects'],,May,November,Hermaphrodite,"['light', 'medium', 'heavy', 'heavy']",Mildly acid and neutral,"['Mildly acid', 'neutral']",Well-drained soil,,"Rich well-drained soils in acidic woods to 1500 metres[43, 82]. An understorey tree in dry deciduous woods[82, 222].","Eastern N. America - Maine to Florida, east to Kansas and Texas.",2,2,3,https://pfaf.org/user/Plant.aspx?LatinName=Cornus+florida
Cornaceae,Cornus,kousa,"Japanese Dogwood, Kousa dogwood, Chinese Dogwood,",slow,"[5, 6, 7, 8]",10.0,6.0,Deciduous Tree,Deciduous,['Insects'],,June,September to October,Hermaphrodite,"['light', 'medium', 'heavy', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,,"Woods and scrub in the mountains of Sichuan. Valleys, shaded slopes, by streams and roadsides, in mixed, sparse, and dense woods at elevations of 400 - 2200 metres.","E. Asia - China, Japan, Korea.",5,0,2,https://pfaf.org/user/Plant.aspx?LatinName=Cornus+kousa
Cornaceae,Cornus,mas,"Cornelian Cherry, Cornelian Cherry Dogwood",medium,"[4, 5, 6, 7, 8]",5.0,5.0,Deciduous Shrub,Deciduous,['Bees'],,February to March,September,Hermaphrodite,"['light', 'medium', 'heavy', 'heavy']","Mildly acid, neutral and basic soils and can grow in very alkaline","['Mildly acid', ' neutral', 'basic', 'very alkaline']",,,"Woodlands, especially in calcareous soils[7, 13].",Europe. Naturalized in Britain[17].,4,2,3,https://pfaf.org/user/Plant.aspx?LatinName=Cornus+mas
Cornaceae,Cornus,sericea,"Red Osier Dogwood, Western dogwood",fast,"[2, 3, 4, 5, 6, 7]",2.5,4.0,Deciduous Shrub,Deciduous,['Bees'],,May to June.,,Hermaphrodite,"['light', 'medium', 'heavy', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,,"Shores and thickets. Along streams, rivers and moist sites, 450 - 2700 metres.","N. America - Newfoundland to New York, west to Alaska and California. Naturalized in Britain[17].",2,2,4,https://pfaf.org/user/Plant.aspx?LatinName=Cornus+sericea
Betulaceae,Corylus,americana,American Hazel,,"[4, 5, 6, 7, 8]",3.0,,Deciduous Tree,Deciduous,['Wind'],,April to May,September to October,Monoecious,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic soils and can grow in very alkaline","['Mildly acid', ' neutral', 'basic', 'very alkaline']",,,"Thickets and rich woods[43, 159]. Moist to dry open woods and thickets, hillsides, roadsides, fencerows, and waste place from sea level to 750 metres.","Eastern N. America - Maine to Georgia, west to Saskatchewan and Oklahoma.",3,1,2,https://pfaf.org/user/Plant.aspx?LatinName=Corylus+americana
Betulaceae,Corylus,avellana,"Common Hazel, Common filbert, European Filbert, Harry Lauder's Walking Stick, Corkscrew Hazel, Hazel",medium,"[4, 5, 6, 7, 8]",6.0,3.0,Deciduous Tree,Deciduous,['Wind'],,January to April,September to October,Monoecious,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic soils and can grow in very acid and very alkaline","['Mildly acid', ' neutral', 'basic', 'very acid', 'very alkaline']",,,"Woods and hedgerows, especially on the slopes of hills, often on calcareous soils[7, 17].","Europe, including Britain, from Norway to Spain and east to W. Asia.",5,2,5,https://pfaf.org/user/Plant.aspx?LatinName=Corylus+avellana
Betulaceae,Corylus,chinensis,Chinese Hazel,,"[5, 6, 7, 8, 9]",24.0,,Deciduous Tree,Deciduous,['Wind'],,April to May,September to October,Monoecious,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic soils and can grow in very alkaline","['Mildly acid', ' neutral', 'basic', 'very alkaline']",Moist soil,Drought,Shady mixed forests. Forests on moist mountain slopes at levations of 1200 - 3500 metres.,E. Asia - China.,2,0,0,https://pfaf.org/user/Plant.aspx?LatinName=Corylus+chinensis
Betulaceae,Corylus,colurna,"Turkish Hazel, Chinese hazelnut, Turkish Filbert, Turkish  Hazel",slow,"[4, 5, 6, 7]",20.0,7.0,Deciduous Tree,Deciduous,['Wind'],,April to May,September to October,Monoecious,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic soils and can grow in very alkaline","['Mildly acid', ' neutral', 'basic', 'very alkaline']",Moist soil,Drought,"Shady mixed forests, 1000 - 1800 metres in E. Asia. Found at altitudes up to 3000 metres in the Himalayas where it is found mainly on northerly aspects and in shady places[146, 158].",S.E. Europe to W. Asia.,3,1,3,https://pfaf.org/user/Plant.aspx?LatinName=Corylus+colurna
Betulaceae,Corylus,cornuta,"Beaked Hazel, California hazelnut, Turkish Filbert, Turkish Hazel",,"[4, 5, 6, 7]",3.0,,Deciduous Shrub,Deciduous,['Wind'],,April to May,September to October,Monoecious,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic soils and can grow in very alkaline","['Mildly acid', ' neutral', 'basic', 'very alkaline']",,,"Dry or moist woodland on hills or mountain slopes. Rich thickets, clearings and woodland edges.",Eastern and Central N. America.,3,1,3,https://pfaf.org/user/Plant.aspx?LatinName=Corylus+cornuta
Betulaceae,Corylus,x colurnoides,Trazel,,[],15.0,15.0,Deciduous Tree,Deciduous,['Wind'],,April to May.,,Monoecious,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic soils and can grow in very alkaline","['Mildly acid', ' neutral', 'basic', 'very alkaline']",,,Not known in the wild.,"A hybrid, C. avellana x C. colurna.",3,0,0,https://pfaf.org/user/Plant.aspx?LatinName=Corylus+x colurnoides
Brassicaceae or Cruciferae,Crambe,maritima,Sea Kale,,"[4, 5, 6, 7, 8]",0.6,0.6,Perennial,,"['Bees', 'Flies']",,June to August.,,Hermaphrodite,"['light', 'medium', 'heavy']",Neutral and basic soils and can grow in saline,"['Neutral', 'basic', 'saline']",Dry or  moist soil,Drought,"Coastal sands, shingle, rocks and cliffs near the sea, often on the drift line.","Atlantic coast of Europe, including Britain, along the Baltic coast and around the Black Sea.",4,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Crambe+maritima
Rosaceae,Crataegus,mollis,"Red Haw, Downy hawthorn",medium,"[4, 5, 6, 7, 8]",9.0,12.0,Deciduous Tree,Deciduous,['Midges'],,May to June,September,Hermaphrodite,"['light', 'medium', 'heavy', 'heavy']","Mildly acid, neutral and basic soils and can grow in very alkaline","['Mildly acid', ' neutral', 'basic', 'very alkaline']",Moist or  wet soil,Drought,"Open woods, usually in alluvial or fertile soils. Frequently found in limestone soils.","Eastern and Central N. America - Ontario to Alabama, west to Oklahoma.",4,2,2,https://pfaf.org/user/Plant.aspx?LatinName=Crataegus+mollis
Rosaceae,Crataegus,pinnatifida,Chinese Haw,,"[5, 6, 7, 8, 9]",7.0,7.0,Deciduous Tree,Deciduous,['Midges'],,May,September to October,Hermaphrodite,"['light', 'medium', 'heavy', 'heavy']","Mildly acid, neutral and basic soils and can grow in very alkaline","['Mildly acid', ' neutral', 'basic', 'very alkaline']",Moist or  wet soil,Drought,"Riverbanks, on sandy soils or stony slopes. Among shrubs, on slopes at elevations of 100 - 2000 metres.","E. Asia - N. China, Korea.",3,3,2,https://pfaf.org/user/Plant.aspx?LatinName=Crataegus+pinnatifida
Rosaceae,Crataegus,punctata,"Dotted Hawthorn,",,"[4, 5, 6, 7, 8]",10.0,,Deciduous Tree,Deciduous,['Midges'],,June,October,Hermaphrodite,"['light', 'medium', 'heavy', 'heavy']","Mildly acid, neutral and basic soils and can grow in very alkaline","['Mildly acid', ' neutral', 'basic', 'very alkaline']",Moist or  wet soil,Drought,"Open rocky ground, thickets and pasture. Rich hillsides.","Eastern N. America - Quebec to Georgia, west to Minnesota and Oklahoma.",3,2,2,https://pfaf.org/user/Plant.aspx?LatinName=Crataegus+punctata
Iridaceae,Crocus,sativus,Saffron,,"[5, 6, 7, 8, 9]",0.1,0.1,Corm,,"['Bees', 'Butterflies']",October to May,October.,,Hermaphrodite,"['light', 'medium']","Mildly acid, neutral and basic soils and can grow in very alkaline","['Mildly acid', ' neutral', 'basic', 'very alkaline']",Well-drained soil,,Not known in a truly wild location.,S. Europe - Greece to W. Asia.,3,3,2,https://pfaf.org/user/Plant.aspx?LatinName=Crocus+sativus
Apiaceae or Umbelliferae,Cryptotaenia,canadensis,"Honewort, Canadian honewort",,"[4, 5, 6, 7, 8]",1.0,0.6,Perennial,,['Insects'],,,,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,,Rich woods and thickets. Woodland ravines and riverbanks.,Eastern N. America - Western New Brunswick to Manitoba and south to Alabama. Arkansas and Texas.,3,0,0,https://pfaf.org/user/Plant.aspx?LatinName=Cryptotaenia+canadensis
Apiaceae or Umbelliferae,Cryptotaenia,japonica,"Mitsuba, Japanese honewort",,"[4, 5, 6, 7, 8]",1.0,0.6,Evergreen Perennial,Evergreen,['Insects'],,July to August,August to September,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,,"Woodland in hills and mountains[52, 58].","E. Asia - China, Japan.",4,1,0,https://pfaf.org/user/Plant.aspx?LatinName=Cryptotaenia+japonica
Moraceae,Cudrania,tricuspidata,"Silkworm Thorn, Storehousebush",slow,"[6, 7, 8, 9]",6.0,6.0,Deciduous Tree,Deciduous,,,July.,,Dioecious,"['light', 'medium']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,Rocky slopes and roadsides in W. China. Sunny forest margins and mountain slopes at elevations of 500 - 2200 metres.,"E. Asia - China, Japan and Korea.",2,2,2,https://pfaf.org/user/Plant.aspx?LatinName=Cudrania+tricuspidata
Lamiaceae or Labiatae,Cunila,origanoides,"Stone Mint, Common dittany",,"[5, 6, 7, 8, 9]",0.3,,Perennial,,,,July to August.,,Hermaphrodite,"['light', 'medium']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,"Dry open woods and thickets[222, 274].","Eastern N. America - New York to Florida, west to Texas and Illinois.",2,2,2,https://pfaf.org/user/Plant.aspx?LatinName=Cunila+origanoides
Rosaceae,Cydonia,oblonga,Quince,medium,"[5, 6, 7, 8, 9]",7.5,7.0,Deciduous Tree,Deciduous,['Insects'],,May,November,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,,"Damp rich soils in hedgerows and thickets[50, 254].",Europe - Mediterranean. An occasional garden escape in Britain[17].,4,2,3,https://pfaf.org/user/Plant.aspx?LatinName=Cydonia+oblonga
Apiaceae,Cymopterus,purpurascens,"Gamote, Widewing springparsley",medium,"[6, 7, 8, 9]",0.3,0.3,Perennial,,,,,,,"['light', 'medium', 'heavy']",Neutral,['Neutral'],Well-drained soil,Drought,"Found on shrubby slopes, from 4,500-7,500 ft (1372-2286 m).","Native to the western United States, including the desert regions. ",4,0,1,https://pfaf.org/user/Plant.aspx?LatinName=Cymopterus+purpurascens
Leguminosae,Cytisus,decumbens,Prostrate Broom,medium,"[5, 6, 7, 8]",0.2,1.0,Evergreen Shrub,Evergreen,,,,,,"['light', 'medium']","Mildly acid, neutral and basic soils and can grow in very alkaline","['Mildly acid', ' neutral', 'basic', 'very alkaline']",Well-drained soil,Drought,"Central France to Albania and southern Italy, on open hillsides.",Native to Europe.,0,0,4,https://pfaf.org/user/Plant.aspx?LatinName=Cytisus+decumbens
